variable,group,value,myid,hits,trendsDescription
Data explosion,Chemicals,1,22,5328,The data explosion is the rapid increase in the amount of published information or data and the effects of this abundance.
Customer Demand,Chemicals,10,23,30390,A measure of consumers' desire for a product or service based on its availability.
Automation,Chemicals,3,24,9660,Automation can be defined as the technology by which a process or procedure is performed without human assistance.
Vulnerability,Consumer Markets,2,25,3924,Vulnerability refers to the inability (of a system or a unit) to withstand the effects of a hostile environment. A window of vulnerability(WOV) is a time frame within which defensive measures are diminished or compromised or lacking.
Virtualization,Consumer Markets,0,26,869,In computing virtualization refers to the act of creating a virtual (rather than actual) version of something including virtual computer hardware platforms storage devices and computer network resources.
Time to market,Consumer Markets,1,27,1733,Time to market is the length of time it takes from a product being conceived until its being available for sale.
Tensions and international conflicts,Consumer Markets,4,28,6538,War arises because of the changing relations of numerous variables--technological/psychic/social/intellectual. There is no single cause of war. Peace is an equilibrium among many forces. Change in any particular force/trend/movement/policy may at one time make for war but under other conditions a similar change may make for peace.
Sustainability,Consumer Markets,4,29,7237,In ecology sustainability is the property of biological systems to remain diverse and productive indefinitely.
Sector convergence,Consumer Markets,1,30,2508,Sector convergence represents growth potentials for organisations redefining the boundaries between industries. 
Disruptive business models,Consumer Markets,3,31,5690,An innovation that creates a new market and value network and eventually disrupts an existing market and value network, displacing established market leading firms/products and alliances.
Demographic changes,Consumer Markets,1,32,2119,Demographic change describes a population's age structure adjusting to changes in living conditions.
Decentralization,Consumer Markets,1,33,2847,Decentralization is the process of distributing or dispersing functions/powers/people or things away from a central location or authority.
Data explosion,Consumer Markets,1,34,2740,The data explosion is the rapid increase in the amount of published information or data and the effects of this abundance.
Customer Demand,Consumer Markets,10,35,15431,A measure of consumers' desire for a product or service based on its availability.
Automation,Consumer Markets,2,36,4365,Automation can be defined as the technology by which a process or procedure is performed without human assistance.
Vulnerability,Energy,2,37,22413,Vulnerability refers to the inability (of a system or a unit) to withstand the effects of a hostile environment. A window of vulnerability(WOV) is a time frame within which defensive measures are diminished or compromised or lacking.
Virtualization,Energy,0,38,2895,In computing virtualization refers to the act of creating a virtual (rather than actual) version of something including virtual computer hardware platforms storage devices and computer network resources.
Time to market,Energy,0,39,3104,Time to market is the length of time it takes from a product being conceived until its being available for sale.
Tensions and international conflicts,Energy,2,40,18856,War arises because of the changing relations of numerous variables--technological/psychic/social/intellectual. There is no single cause of war. Peace is an equilibrium among many forces. Change in any particular force/trend/movement/policy may at one time make for war but under other conditions a similar change may make for peace.
Sustainability,Energy,10,41,104527,In ecology sustainability is the property of biological systems to remain diverse and productive indefinitely.
Sector convergence,Energy,1,42,9994,Sector convergence represents growth potentials for organisations redefining the boundaries between industries. 
Disruptive business models,Energy,1,43,17190,An innovation that creates a new market and value network and eventually disrupts an existing market and value network, displacing established market leading firms/products and alliances.
Demographic changes,Energy,1,44,9523,Demographic change describes a population's age structure adjusting to changes in living conditions.
Decentralization,Energy,1,45,9968,Decentralization is the process of distributing or dispersing functions/powers/people or things away from a central location or authority.
Data explosion,Energy,1,46,8191,The data explosion is the rapid increase in the amount of published information or data and the effects of this abundance.
Customer Demand,Energy,1,47,17905,A measure of consumers' desire for a product or service based on its availability.
Automation,Energy,1,48,14106,Automation can be defined as the technology by which a process or procedure is performed without human assistance.
Vulnerability,Financial Services,10,49,126463,Vulnerability refers to the inability (of a system or a unit) to withstand the effects of a hostile environment. A window of vulnerability(WOV) is a time frame within which defensive measures are diminished or compromised or lacking.
Virtualization,Financial Services,0,50,10920,In computing virtualization refers to the act of creating a virtual (rather than actual) version of something including virtual computer hardware platforms storage devices and computer network resources.
Time to market,Financial Services,0,51,12024,Time to market is the length of time it takes from a product being conceived until its being available for sale.
Tensions and international conflicts,Financial Services,8,52,101216,War arises because of the changing relations of numerous variables--technological/psychic/social/intellectual. There is no single cause of war. Peace is an equilibrium among many forces. Change in any particular force/trend/movement/policy may at one time make for war but under other conditions a similar change may make for peace.
Sustainability,Financial Services,5,53,69536,In ecology sustainability is the property of biological systems to remain diverse and productive indefinitely.
Sector convergence,Financial Services,2,54,35834,Sector convergence represents growth potentials for organisations redefining the boundaries between industries. 
Disruptive business models,Financial Services,6,55,80625,An innovation that creates a new market and value network and eventually disrupts an existing market and value network, displacing established market leading firms/products and alliances.
Demographic changes,Financial Services,3,56,39884,Demographic change describes a population's age structure adjusting to changes in living conditions.
Decentralization,Financial Services,4,57,55579,Decentralization is the process of distributing or dispersing functions/powers/people or things away from a central location or authority.
Data explosion,Financial Services,2,58,37039,The data explosion is the rapid increase in the amount of published information or data and the effects of this abundance.
Customer Demand,Financial Services,3,59,50625,A measure of consumers' desire for a product or service based on its availability.
Automation,Financial Services,3,60,50066,Automation can be defined as the technology by which a process or procedure is performed without human assistance.
Vulnerability,Healthcare,9,61,50808,Vulnerability refers to the inability (of a system or a unit) to withstand the effects of a hostile environment. A window of vulnerability(WOV) is a time frame within which defensive measures are diminished or compromised or lacking.
Virtualization,Healthcare,0,62,9468,In computing virtualization refers to the act of creating a virtual (rather than actual) version of something including virtual computer hardware platforms storage devices and computer network resources.
Time to market,Healthcare,1,63,13229,Time to market is the length of time it takes from a product being conceived until its being available for sale.
Tensions and international conflicts,Healthcare,7,64,44172,War arises because of the changing relations of numerous variables--technological/psychic/social/intellectual. There is no single cause of war. Peace is an equilibrium among many forces. Change in any particular force/trend/movement/policy may at one time make for war but under other conditions a similar change may make for peace.
Sustainability,Healthcare,9,65,53827,In ecology sustainability is the property of biological systems to remain diverse and productive indefinitely.
Sector convergence,Healthcare,4,66,26231,Sector convergence represents growth potentials for organisations redefining the boundaries between industries. 
Disruptive business models,Healthcare,8,67,49265,An innovation that creates a new market and value network and eventually disrupts an existing market and value network, displacing established market leading firms/products and alliances.
Demographic changes,Healthcare,10,68,56728,Demographic change describes a population's age structure adjusting to changes in living conditions.
Decentralization,Healthcare,3,69,23398,Decentralization is the process of distributing or dispersing functions/powers/people or things away from a central location or authority.
Data explosion,Healthcare,4,70,28833,The data explosion is the rapid increase in the amount of published information or data and the effects of this abundance.
Customer Demand,Healthcare,8,71,47404,A measure of consumers' desire for a product or service based on its availability.
Automation,Healthcare,6,72,36042,Automation can be defined as the technology by which a process or procedure is performed without human assistance.
Vulnerability,Industrial Manufacturing,4,73,3987,Vulnerability refers to the inability (of a system or a unit) to withstand the effects of a hostile environment. A window of vulnerability(WOV) is a time frame within which defensive measures are diminished or compromised or lacking.
Virtualization,Industrial Manufacturing,0,74,1486,In computing virtualization refers to the act of creating a virtual (rather than actual) version of something including virtual computer hardware platforms storage devices and computer network resources.
Time to market,Industrial Manufacturing,1,75,1940,Time to market is the length of time it takes from a product being conceived until its being available for sale.
Tensions and international conflicts,Industrial Manufacturing,6,76,4987,War arises because of the changing relations of numerous variables--technological/psychic/social/intellectual. There is no single cause of war. Peace is an equilibrium among many forces. Change in any particular force/trend/movement/policy may at one time make for war but under other conditions a similar change may make for peace.
Sustainability,Industrial Manufacturing,10,77,7223,In ecology sustainability is the property of biological systems to remain diverse and productive indefinitely.
Sector convergence,Industrial Manufacturing,2,78,2516,Sector convergence represents growth potentials for organisations redefining the boundaries between industries. 
Disruptive business models,Industrial Manufacturing,7,79,5429,An innovation that creates a new market and value network and eventually disrupts an existing market and value network, displacing established market leading firms/products and alliances.
Demographic changes,Industrial Manufacturing,1,80,1802,Demographic change describes a population's age structure adjusting to changes in living conditions.
Decentralization,Industrial Manufacturing,1,81,2178,Decentralization is the process of distributing or dispersing functions/powers/people or things away from a central location or authority.
Data explosion,Industrial Manufacturing,1,82,2330,The data explosion is the rapid increase in the amount of published information or data and the effects of this abundance.
Customer Demand,Industrial Manufacturing,10,83,7366,A measure of consumers' desire for a product or service based on its availability.
Automation,Industrial Manufacturing,8,84,6191,Automation can be defined as the technology by which a process or procedure is performed without human assistance.
Vulnerability,Lifescience,7,85,20302,Vulnerability refers to the inability (of a system or a unit) to withstand the effects of a hostile environment. A window of vulnerability(WOV) is a time frame within which defensive measures are diminished or compromised or lacking.
Virtualization,Lifescience,0,86,4760,In computing virtualization refers to the act of creating a virtual (rather than actual) version of something including virtual computer hardware platforms storage devices and computer network resources.
Time to market,Lifescience,3,87,10677,Time to market is the length of time it takes from a product being conceived until its being available for sale.
Tensions and international conflicts,Lifescience,8,88,22730,War arises because of the changing relations of numerous variables--technological/psychic/social/intellectual. There is no single cause of war. Peace is an equilibrium among many forces. Change in any particular force/trend/movement/policy may at one time make for war but under other conditions a similar change may make for peace.
Sustainability,Lifescience,8,89,24565,In ecology sustainability is the property of biological systems to remain diverse and productive indefinitely.
Sector convergence,Lifescience,5,90,16226,Sector convergence represents growth potentials for organisations redefining the boundaries between industries. 
Disruptive business models,Lifescience,10,91,28226,An innovation that creates a new market and value network and eventually disrupts an existing market and value network, displacing established market leading firms/products and alliances.
Demographic changes,Lifescience,6,92,18126,Demographic change describes a population's age structure adjusting to changes in living conditions.
Decentralization,Lifescience,3,93,10710,Decentralization is the process of distributing or dispersing functions/powers/people or things away from a central location or authority.
Data explosion,Lifescience,6,94,18103,The data explosion is the rapid increase in the amount of published information or data and the effects of this abundance.
Customer Demand,Lifescience,9,95,26098,A measure of consumers' desire for a product or service based on its availability.
Automation,Lifescience,8,96,22850,Automation can be defined as the technology by which a process or procedure is performed without human assistance.
Vulnerability,Retail,5,97,33916,Vulnerability refers to the inability (of a system or a unit) to withstand the effects of a hostile environment. A window of vulnerability(WOV) is a time frame within which defensive measures are diminished or compromised or lacking.
Virtualization,Retail,0,98,10976,In computing virtualization refers to the act of creating a virtual (rather than actual) version of something including virtual computer hardware platforms storage devices and computer network resources.
Time to market,Retail,0,99,10229,Time to market is the length of time it takes from a product being conceived until its being available for sale.
Tensions and international conflicts,Retail,6,100,38018,War arises because of the changing relations of numerous variables--technological/psychic/social/intellectual. There is no single cause of war. Peace is an equilibrium among many forces. Change in any particular force/trend/movement/policy may at one time make for war but under other conditions a similar change may make for peace.
Sustainability,Retail,6,101,37779,In ecology sustainability is the property of biological systems to remain diverse and productive indefinitely.
Sector convergence,Retail,2,102,20716,Sector convergence represents growth potentials for organisations redefining the boundaries between industries. 
Disruptive business models,Retail,8,103,50219,An innovation that creates a new market and value network and eventually disrupts an existing market and value network, displacing established market leading firms/products and alliances.
Demographic changes,Retail,1,104,15980,Demographic change describes a population's age structure adjusting to changes in living conditions.
Decentralization,Retail,2,105,21392,Decentralization is the process of distributing or dispersing functions/powers/people or things away from a central location or authority.
Data explosion,Retail,3,106,24355,The data explosion is the rapid increase in the amount of published information or data and the effects of this abundance.
Customer Demand,Retail,10,107,60183,A measure of consumers' desire for a product or service based on its availability.
Automation,Retail,5,108,33504,Automation can be defined as the technology by which a process or procedure is performed without human assistance.
Vulnerability,Technology,3,109,15015,Vulnerability refers to the inability (of a system or a unit) to withstand the effects of a hostile environment. A window of vulnerability(WOV) is a time frame within which defensive measures are diminished or compromised or lacking.
Virtualization,Technology,2,110,14344,In computing virtualization refers to the act of creating a virtual (rather than actual) version of something including virtual computer hardware platforms storage devices and computer network resources.
Time to market,Technology,0,111,6760,Time to market is the length of time it takes from a product being conceived until its being available for sale.
Tensions and international conflicts,Technology,2,112,13447,War arises because of the changing relations of numerous variables--technological/psychic/social/intellectual. There is no single cause of war. Peace is an equilibrium among many forces. Change in any particular force/trend/movement/policy may at one time make for war but under other conditions a similar change may make for peace.
Sustainability,Technology,2,113,13894,In ecology sustainability is the property of biological systems to remain diverse and productive indefinitely.
Sector convergence,Technology,1,114,10155,Sector convergence represents growth potentials for organisations redefining the boundaries between industries. 
Disruptive business models,Technology,10,115,39022,An innovation that creates a new market and value network and eventually disrupts an existing market and value network, displacing established market leading firms/products and alliances.
Demographic changes,Technology,0,116,7260,Demographic change describes a population's age structure adjusting to changes in living conditions.
Decentralization,Technology,3,117,16812,Decentralization is the process of distributing or dispersing functions/powers/people or things away from a central location or authority.
Data explosion,Technology,5,118,22384,The data explosion is the rapid increase in the amount of published information or data and the effects of this abundance.
Customer Demand,Technology,5,119,23420,A measure of consumers' desire for a product or service based on its availability.
Automation,Technology,9,120,35891,Automation can be defined as the technology by which a process or procedure is performed without human assistance.
Vulnerability,Telecommunications and media,10,121,273705,Vulnerability refers to the inability (of a system or a unit) to withstand the effects of a hostile environment. A window of vulnerability(WOV) is a time frame within which defensive measures are diminished or compromised or lacking.
Virtualization,Telecommunications and media,0,122,32602,In computing virtualization refers to the act of creating a virtual (rather than actual) version of something including virtual computer hardware platforms storage devices and computer network resources.
Time to market,Telecommunications and media,0,123,38409,Time to market is the length of time it takes from a product being conceived until its being available for sale.
Tensions and international conflicts,Telecommunications and media,7,124,208148,War arises because of the changing relations of numerous variables--technological/psychic/social/intellectual. There is no single cause of war. Peace is an equilibrium among many forces. Change in any particular force/trend/movement/policy may at one time make for war but under other conditions a similar change may make for peace.
Sustainability,Telecommunications and media,6,125,168962,In ecology sustainability is the property of biological systems to remain diverse and productive indefinitely.
Sector convergence,Telecommunications and media,1,126,63233,Sector convergence represents growth potentials for organisations redefining the boundaries between industries. 
Disruptive business models,Telecommunications and media,6,127,165231,An innovation that creates a new market and value network and eventually disrupts an existing market and value network, displacing established market leading firms/products and alliances.
Demographic changes,Telecommunications and media,4,128,140473,Demographic change describes a population's age structure adjusting to changes in living conditions.
Decentralization,Telecommunications and media,2,129,88398,Decentralization is the process of distributing or dispersing functions/powers/people or things away from a central location or authority.
Data explosion,Telecommunications and media,2,130,76878,The data explosion is the rapid increase in the amount of published information or data and the effects of this abundance.
Customer Demand,Telecommunications and media,2,131,91905,A measure of consumers' desire for a product or service based on its availability.
Automation,Telecommunications and media,3,132,101427,Automation can be defined as the technology by which a process or procedure is performed without human assistance.
Vulnerability,Transport and logistics,8,133,27779,Vulnerability refers to the inability (of a system or a unit) to withstand the effects of a hostile environment. A window of vulnerability(WOV) is a time frame within which defensive measures are diminished or compromised or lacking.
Virtualization,Transport and logistics,0,134,7527,In computing virtualization refers to the act of creating a virtual (rather than actual) version of something including virtual computer hardware platforms storage devices and computer network resources.
Time to market,Transport and logistics,0,135,7012,Time to market is the length of time it takes from a product being conceived until its being available for sale.
Tensions and international conflicts,Transport and logistics,8,136,28135,War arises because of the changing relations of numerous variables--technological/psychic/social/intellectual. There is no single cause of war. Peace is an equilibrium among many forces. Change in any particular force/trend/movement/policy may at one time make for war but under other conditions a similar change may make for peace.
Sustainability,Transport and logistics,9,137,31890,In ecology sustainability is the property of biological systems to remain diverse and productive indefinitely.
Sector convergence,Transport and logistics,2,138,13363,Sector convergence represents growth potentials for organisations redefining the boundaries between industries. 
Disruptive business models,Transport and logistics,10,139,33383,An innovation that creates a new market and value network and eventually disrupts an existing market and value network, displacing established market leading firms/products and alliances.
Demographic changes,Transport and logistics,3,140,13905,Demographic change describes a population's age structure adjusting to changes in living conditions.
Decentralization,Transport and logistics,3,141,15221,Decentralization is the process of distributing or dispersing functions/powers/people or things away from a central location or authority.
Data explosion,Transport and logistics,4,142,16367,The data explosion is the rapid increase in the amount of published information or data and the effects of this abundance.
Customer Demand,Transport and logistics,7,143,26711,A measure of consumers' desire for a product or service based on its availability.
Automation,Transport and logistics,7,144,25366,Automation can be defined as the technology by which a process or procedure is performed without human assistance.
