variable,group,value,myid,hits
Decentralization,Financial Services,7,57,55579
Data explosion,Financial Services,5,58,37039
Customer Demand,Financial Services,6,59,50625
Automation,Financial Services,6,60,50066
Vulnerability,Healthcare,9,61,50808
Virtualization,Healthcare,0,62,9468
Time to market,Healthcare,2,63,13229
Tensions and international conflicts,Healthcare,9,64,44172
Sustainability,Healthcare,10,65,53827
Sector convergence,Healthcare,6,66,26231
Disruptive business models,Healthcare,9,67,49265
Demographic changes,Healthcare,10,68,56728
Decentralization,Healthcare,5,69,23398
Data explosion,Healthcare,6,70,28833
Customer Demand,Healthcare,9,71,47404
Automation,Healthcare,7,72,36042
Vulnerability,Industrial Manufacturing,6,73,3987
Virtualization,Industrial Manufacturing,0,74,1486
Time to market,Industrial Manufacturing,2,75,1940
Tensions and international conflicts,Industrial Manufacturing,8,76,4987
Sustainability,Industrial Manufacturing,10,77,7223
Sector convergence,Industrial Manufacturing,3,78,2516
Disruptive business models,Industrial Manufacturing,8,79,5429
Demographic changes,Industrial Manufacturing,1,80,1802
Decentralization,Industrial Manufacturing,2,81,2178
Data explosion,Industrial Manufacturing,3,82,2330
Customer Demand,Industrial Manufacturing,10,83,7366
Automation,Industrial Manufacturing,9,84,6191
Vulnerability,Lifescience,8,85,20302
Virtualization,Lifescience,0,86,4760
Time to market,Lifescience,5,87,10677
Tensions and international conflicts,Lifescience,9,88,22730
Sustainability,Lifescience,9,89,24565
Sector convergence,Lifescience,7,90,16226
Disruptive business models,Lifescience,10,91,28226
Demographic changes,Lifescience,8,92,18126
Decentralization,Lifescience,5,93,10710
Data explosion,Lifescience,8,94,18103
Customer Demand,Lifescience,10,95,26098
Automation,Lifescience,9,96,22850
Vulnerability,Retail,7,97,33916
Virtualization,Retail,0,98,10976
Time to market,Retail,0,99,10229
Tensions and international conflicts,Retail,7,100,38018
Sustainability,Retail,7,101,37779
Sector convergence,Retail,4,102,20716
Disruptive business models,Retail,9,103,50219
Demographic changes,Retail,3,104,15980
Decentralization,Retail,4,105,21392
Data explosion,Retail,5,106,24355
Customer Demand,Retail,10,107,60183
Automation,Retail,7,108,33504
Vulnerability,Technology,5,109,15015
Virtualization,Technology,4,110,14344
Time to market,Technology,0,111,6760
Tensions and international conflicts,Technology,4,112,13447
Sustainability,Technology,4,113,13894
Sector convergence,Technology,2,114,10155
Disruptive business models,Technology,10,115,39022
Demographic changes,Technology,0,116,7260
Decentralization,Technology,5,117,16812
Data explosion,Technology,7,118,22384
Customer Demand,Technology,7,119,23420
Automation,Technology,10,120,35891
Vulnerability,Telecommunications and media,10,121,273705
Virtualization,Telecommunications and media,0,122,32602
Time to market,Telecommunications and media,1,123,38409
Tensions and international conflicts,Telecommunications and media,9,124,208148
Sustainability,Telecommunications and media,8,125,168962
Sector convergence,Telecommunications and media,3,126,63233
Disruptive business models,Telecommunications and media,8,127,165231
Demographic changes,Telecommunications and media,7,128,140473
Decentralization,Telecommunications and media,5,129,88398
Data explosion,Telecommunications and media,4,130,76878
Customer Demand,Telecommunications and media,5,131,91905
Automation,Telecommunications and media,5,132,101427
Vulnerability,Transport and logistics,9,133,27779
Virtualization,Transport and logistics,0,134,7527
Time to market,Transport and logistics,0,135,7012
Tensions and international conflicts,Transport and logistics,9,136,28135
Sustainability,Transport and logistics,10,137,31890
Sector convergence,Transport and logistics,4,138,13363
Disruptive business models,Transport and logistics,10,139,33383
Demographic changes,Transport and logistics,4,140,13905
Decentralization,Transport and logistics,5,141,15221
Data explosion,Transport and logistics,5,142,16367
Customer Demand,Transport and logistics,9,143,26711
Automation,Transport and logistics,8,144,25366
